name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Muhammad Mokaev,13,0,170.18,56.7,177.8,Orthodox,24,1.61,0.45,1.35,0.57,5.29,0.41,0.25,0.8
Rex Holman,4,2,190.5,92.99,None,Southpaw,None,2.75,0.34,7.25,0.4,0,0,1,0
Bo Nickal,6,0,185.42,83.91,193.04,Southpaw,28,1.64,0.62,0.5,0.7,7.46,0.5,0,7.5
Sheymon Moraes,11,4,172.72,65.77,182.88,Orthodox,34,3,0.42,3.64,0.63,0,0,0.53,0
Rodolfo Vieira,10,2,182.88,83.91,185.42,Orthodox,35,3.19,0.54,4.6,0.49,4.18,0.3,1,1.6
Alex Ricci,10,5,180.34,70.31,None,Orthodox,42,2.48,0.41,2.53,0.64,0,0,0.64,0
Jason Godsey,16,16,187.96,104.33,None,Orthodox,None,0,0,0,0,0,0,0,0
Saparbeg Safarov,9,3,185.42,83.91,198.12,Orthodox,38,4.03,0.48,2.96,0.47,2.52,0.41,0.33,0
Jim Mullen,0,2,185.42,97.52,None,Southpaw,None,0,0,0,0,0,0,0,0
Shamil Gaziev,13,1,193.04,120.2,198.12,Orthodox,34,2.43,0.49,3.72,0.44,1.03,0.3,1,0.3
Rolles Gracie,8,4,193.04,109.77,None,Orthodox,46,2.3,0.32,3.38,0.55,2.3,0.1,0,0
Miranda Granger,7,3,170.18,52.16,172.72,Orthodox,32,2.79,0.47,2.57,0.57,0,0,0.33,0
Warlley Alves,15,8,180.34,83.91,182.88,Orthodox,33,3.04,0.48,3.95,0.5,1.22,0.5,0.62,0.8
Greg Soto,9,4,180.34,77.11,185.42,Orthodox,38,3.21,0.63,2.61,0.52,1.49,0.27,0.44,1
Scott Smith,18,11,182.88,83.91,177.8,Orthodox,45,1.9,0.27,5.87,0.5,0.12,0.06,0.58,0.5
Royce Gracie,15,2,185.42,79.38,None,Southpaw,57,0.88,0.41,1.13,0.37,0,0,0.66,0.8
Maycee Barber,14,2,165.1,56.7,165.1,Switch,26,4.7,0.53,2.9,0.54,1.44,0.43,0.53,0.1
Keita Nakamura,34,10,180.34,77.11,185.42,Southpaw,40,2.23,0.36,3.2,0.58,1.65,0.48,0.63,0.3
Matt Brown,26,19,182.88,77.11,190.5,Orthodox,43,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3
Josh Quinlan,6,3,182.88,77.11,182.88,Orthodox,31,3.57,0.42,6.38,0.53,0.34,0.11,0.71,0
Martin Kampmann,20,7,182.88,77.11,182.88,Orthodox,42,3.22,0.42,3.28,0.62,1.86,0.41,0.78,2
Maurice Smith,12,14,187.96,100.24,None,Orthodox,62,0.41,0.46,0.47,0.6,0.89,0.5,0.2,0.9
Kaynan Kruschewsky,15,3,182.88,70.31,185.42,Orthodox,33,5.67,0.5,5.71,0.46,2.74,1,0.75,2.1
Blake Bilder,8,2,172.72,65.77,172.72,Switch,34,3.81,0.48,4.15,0.53,0.31,0.07,0.71,0.6
Bill Mahood,20,7,190.5,90.72,None,Orthodox,57,1.54,0.85,3.59,0.17,0,0,0,3.9
Damir Hadzovic,14,7,175.26,70.31,177.8,Orthodox,38,3.36,0.48,3.26,0.62,0.78,0.55,0.34,0.2
Ben Saunders,22,13,187.96,77.11,195.58,Orthodox,41,3.23,0.5,3.58,0.51,0.2,0.4,0.66,1.3
Kiefer Crosbie,10,5,180.34,77.11,177.8,Switch,34,6.27,0.64,4.97,0.54,0,0,0,0
Justin Gaethje,25,5,180.34,70.31,177.8,Orthodox,35,6.78,0.59,7.46,0.52,0.11,0.25,0.75,0
Puja Tomar,9,4,162.56,52.16,149.86,Southpaw,30,6.33,0.47,5.6,0.44,0,0,1,0
Viscardi Andrade,19,6,180.34,77.11,190.5,Orthodox,40,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3
Court McGee,23,13,180.34,77.11,190.5,Orthodox,39,4.6,0.37,3.59,0.61,1.87,0.25,0.69,0.5
Brandon Melendez,25,25,180.34,70.31,None,Southpaw,41,0.84,0.26,0.56,0.63,0,0,0.25,0
Jack Della Maddalena,17,2,180.34,77.11,185.42,Switch,28,6.74,0.53,4.27,0.66,0.21,0.16,0.7,0.2
Hyder Amil,10,0,175.26,65.77,177.8,Switch,34,6.31,0.57,2.23,0.61,0.64,0.33,0.78,1.9
Guilherme Vasconcelos,9,4,182.88,83.91,None,Orthodox,38,3.27,0.29,4.4,0.7,0,0,0,0
Jordan Williams,9,6,185.42,83.91,190.5,Southpaw,34,5.83,0.5,5.46,0.35,1.11,0.5,0.85,0
John Salter,14,3,185.42,83.91,187.96,Southpaw,39,1.68,0.32,1.68,0.68,2.85,0.46,0.66,0.5
HyunSung Park,9,0,170.18,56.7,167.64,Orthodox,28,4.15,0.44,3.43,0.59,1.54,0.27,1,2.6
Magnus Cedenblad,14,5,195.58,83.91,200.66,Orthodox,42,2.38,0.51,3.02,0.4,2.87,0.64,0.66,1
Chris Condo,0,1,182.88,151.95,None,Orthodox,None,0,0,0,0,0,0,0,0
David Kaplan,3,4,170.18,70.31,None,Orthodox,44,2.88,0.46,4.32,0.67,4.88,0.43,0,0.7
Domingo Pilarte,8,3,182.88,61.23,185.42,Southpaw,34,1.31,0.47,2.96,0.4,1.2,0.42,0.54,0.8
Joseph Morales,9,2,167.64,56.7,175.26,Switch,30,1.58,0.37,1.72,0.6,0.53,0.5,0.23,2.6
John Lineker,31,9,160.02,61.23,170.18,Orthodox,34,5.36,0.4,4.27,0.56,0.56,0.58,0.67,0.6
Yusuke Kasuya,9,3,170.18,70.31,None,Southpaw,34,2.17,0.44,4.34,0.48,1.36,0.33,0,0
Frank Lester,11,6,180.34,77.11,None,Orthodox,40,2.18,0.36,3.82,0.53,0,0,0,0
Jasmine Jasudavicius,11,3,170.18,56.7,172.72,Orthodox,35,3.79,0.45,3.85,0.51,2.39,0.41,0.75,0.5
Robert Peralta,18,8,172.72,65.77,180.34,Orthodox,38,3.76,0.44,2.97,0.53,0.59,0.66,0.65,0
Chuck Liddell,21,8,187.96,92.99,193.04,Orthodox,54,2.97,0.35,2.71,0.56,0.44,0.75,0.81,0
Andrew Holbrook,12,3,180.34,70.31,177.8,Southpaw,38,2.2,0.49,3,0.54,0.85,0.18,0.1,2.1
Trey Ogden,18,6,180.34,70.31,182.88,Orthodox,34,3.07,0.48,3.46,0.57,2.04,0.3,1,0.8
Justin Tafa,7,4,182.88,119.75,187.96,Southpaw,30,4.09,0.54,5.02,0.47,0,0,0.5,0
Josh Emmett,19,4,167.64,65.77,177.8,Orthodox,39,4.04,0.36,4.61,0.61,0.91,0.37,0.46,0.1
Dan Moret,13,6,182.88,70.31,185.42,Southpaw,37,2.67,0.43,3.56,0.43,1.25,0.27,0.45,0.4
Joshua Weems,11,3,172.72,61.23,175.26,Orthodox,30,5.25,0.64,3.34,0.61,4.77,0.4,1,0
Pedro Rizzo,20,11,185.42,109.32,None,Orthodox,50,1.93,0.34,3.02,0.5,0.26,0.28,0.78,0
Alex Hunter,2,0,175.26,102.51,None,Orthodox,None,0,0,0,0,0,0,0,0
Jamey Simmons,7,4,167.64,61.23,177.8,Orthodox,32,0.79,0.21,1.92,0.74,0,0,0.5,0
Jorge Masvidal,35,17,180.34,77.11,187.96,Orthodox,39,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3
Francisco Trevino,13,3,175.26,70.31,177.8,Orthodox,42,2.65,0.42,2.42,0.64,0.97,0.22,0.41,0
Travis Fulton,253,53,182.88,108.86,None,Orthodox,47,0,0,0,0,0,0,0,0
Nursulton Ruziboev,34,9,195.58,77.11,193.04,Orthodox,30,2.5,0.43,4.6,0.49,0.77,1,0,0
Eryk Anders,16,8,185.42,83.91,190.5,Southpaw,37,3.41,0.47,4.17,0.5,1.79,0.26,0.79,0.1
Urijah Faber,35,11,167.64,61.23,170.18,Orthodox,45,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8
Rob Yundt,9,5,185.42,83.91,None,Orthodox,44,1.37,0.41,2.55,0.31,2.94,1,0,0
Fabio Cherant,7,4,185.42,92.99,187.96,Southpaw,29,1.35,0.4,4.89,0.38,0,0,0,0
Gilbert Smith,12,6,175.26,83.91,None,Southpaw,42,1.09,0.41,2.73,0.35,3.51,0.6,0,1.2
Stevie Ray,23,9,177.8,70.31,177.8,Southpaw,34,3.73,0.44,2.93,0.54,0.75,0.46,0.55,0.6
Julie Kedzie,16,13,165.1,61.23,None,Orthodox,43,2.9,0.36,3.18,0.46,1.14,0.23,0.78,0
Jason Lambert,26,13,190.5,83.91,190.5,Orthodox,49,3.21,0.58,1.84,0.5,1.35,0.36,0.28,2.4
Gian Villante,17,14,190.5,104.33,193.04,Orthodox,39,4.38,0.44,5.47,0.55,0.45,0.23,0.83,0
Chris Gruetzemacher,15,5,172.72,70.31,172.72,Orthodox,38,6.18,0.57,4.96,0.52,0.21,0.5,0.65,0
Steve Berger,21,23,180.34,77.11,None,Orthodox,51,1,0.27,3.26,0.36,0.84,0.4,0.16,1.7
