name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Jon Fitch,30,7,182.88,77.11,187.96,Orthodox,47,2.61,0.5,1.65,0.54,3.6,0.51,0.56,0.8
Cesar Almeida,7,1,185.42,83.91,187.96,Orthodox,36,4.16,0.58,2.32,0.48,0.0,0.0,0.6,0.3
Joe Brammer,7,3,172.72,70.31,None,Orthodox,41,2.15,0.31,2.8,0.56,0.81,0.5,0.5,0.0
Andrew Sanchez,13,7,185.42,83.91,187.96,Orthodox,36,4.3,0.43,5.1,0.5,2.55,0.36,1.0,0.0
Kurt Holobaugh,22,9,180.34,70.31,177.8,Orthodox,38,4.65,0.45,4.3,0.49,0.66,0.33,0.39,0.8
Paddy Holohan,12,2,177.8,56.7,175.26,Orthodox,36,2.13,0.46,2.81,0.46,2.88,0.47,0.71,1.3
Keith Jardine,17,11,187.96,83.91,193.04,Orthodox,49,3.25,0.36,2.98,0.59,1.18,0.45,0.62,0.7
Matt Schnell,16,9,172.72,56.7,177.8,Orthodox,35,4.39,0.39,4.64,0.55,0.56,0.4,0.5,1.0
Gillian Robertson,15,8,165.1,52.16,160.02,Orthodox,29,2.89,0.48,2.95,0.56,2.68,0.39,0.41,1.0
Wes Sims,24,14,208.28,117.93,None,Orthodox,45,0.98,0.51,2.95,0.37,0.0,0.0,0.4,2.3
Jennifer Maia,21,10,162.56,56.7,162.56,Orthodox,36,4.35,0.38,4.52,0.55,0.42,0.27,0.58,0.1
Karol Rosa,18,7,165.1,61.23,170.18,Orthodox,30,6.22,0.55,4.84,0.49,1.09,0.46,0.7,0.0
Philipe Lins,18,5,187.96,92.99,198.12,Orthodox,39,3.8,0.49,3.59,0.46,1.65,0.33,1.0,0.0
Jean Matsumoto,16,1,167.64,61.23,172.72,Orthodox,25,5.18,0.41,5.4,0.45,2.73,0.47,0.57,0.3
